athlete_id,full_name,sex,birth_year,height,weight,score,date_valid_from,date_valid_to,status,sid
473,Magdy Abou El-Magd,M,1973,188.0,85.0,2,2022-06-11 00:00:00,9999-12-31,1,168
476,Mohamed Moustafa Abou Elea,M,1980,168.0,54.0,2,2022-06-11 00:00:00,9999-12-31,1,169
479,Zaid Abou Hamed,M,1970,182.0,79.0,1,2022-06-11 00:00:00,9999-12-31,1,170
486,Zakaria Aboub,M,1980,171.0,65.0,5,2022-06-11 00:00:00,9999-12-31,1,171
488,Ibrahim Mohamedin Aboubaker,M,1983,190.0,65.0,5,2022-06-11 00:00:00,9999-12-31,1,172
493,Rabah Aboud,M,1981,180.0,64.0,5,2022-06-11 00:00:00,9999-12-31,1,173
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,1991,188.0,87.0,1,2022-06-11 00:00:00,9999-12-31,1,174
498,El-Sayed Aboumedan,M,1978,178.0,81.0,3,2022-06-11 00:00:00,9999-12-31,1,175
500,Sdonoud Janvier Abouta,M,1981,,,3,2022-06-11 00:00:00,9999-12-31,1,176
501,Mohamed Mohamed Mohamed Aboutrika,M,1979,182.0,77.0,5,2022-06-11 00:00:00,9999-12-31,1,177
514,Ara Abrahamian,M,1975,191.0,84.0,3,2022-06-11 00:00:00,9999-12-31,1,178
516,Clyde Abrahams,M,1979,178.0,68.0,2,2022-06-11 00:00:00,9999-12-31,1,179
532,Iason Abramashvili,M,1989,176.0,82.0,1,2022-06-11 00:00:00,9999-12-31,1,180
534,Oleksandr Volodymyrovych Abramenko,M,1989,180.0,82.0,1,2022-06-11 00:00:00,9999-12-31,1,181
535,Yevgeny Sergeyevich Abramenko,M,1988,181.0,80.0,5,2022-06-11 00:00:00,9999-12-31,1,182
541,Andrey Viktorovich Abramov,M,1984,176.0,70.0,5,2022-06-11 00:00:00,9999-12-31,1,183
543,Pavel Sergeyevich Abramov,M,1979,198.0,89.0,1,2022-06-11 00:00:00,9999-12-31,1,184
548,Yekaterina Konstantinovna Abramova,F,1983,167.0,65.0,1,2022-06-11 00:00:00,9999-12-31,1,185
549,Alen Abramovi,M,1977,180.0,72.0,4,2022-06-11 00:00:00,9999-12-31,1,186
550,Dmitry Vladimirovich Abramovich,M,1983,182.0,96.0,2,2022-06-11 00:00:00,9999-12-31,1,187
556,Arnaldo Lus Isaas Abrantes,M,1987,183.0,72.0,2,2022-06-11 00:00:00,9999-12-31,1,188
560,Amir Abrashi,M,1990,172.0,70.0,5,2022-06-11 00:00:00,9999-12-31,1,189
562,Pawe Abratkiewicz,M,1971,183.0,84.0,3,2022-06-11 00:00:00,9999-12-31,1,190
565,Glauclio Serro Abreu,M,1978,185.0,75.0,1,2022-06-11 00:00:00,9999-12-31,1,191
568,Morais Santos Abreu,M,1968,188.0,73.0,2,2022-06-11 00:00:00,9999-12-31,1,192
574,rika Abril Surez,F,1978,164.0,52.0,4,2022-06-11 00:00:00,9999-12-31,1,193
575,Laura Valentina Abril Restrepo,F,1990,162.0,50.0,3,2022-06-11 00:00:00,9999-12-31,1,194
580,Svetlana Olegovna Abrosimova,F,1980,188.0,77.0,3,2022-06-11 00:00:00,9999-12-31,1,195
583,Julien Absalon,M,1981,180.0,68.0,3,2022-06-11 00:00:00,9999-12-31,1,196
584,Ayele Abshero Biza,M,1991,168.0,62.0,4,2022-06-11 00:00:00,9999-12-31,1,197
586,Tobias Abstreiter,M,1971,178.0,85.0,2,2022-06-11 00:00:00,9999-12-31,1,198
588,"Aleksandr Viktorovich ""Sasha"" Abt",M,1977,179.0,68.0,4,2022-06-11 00:00:00,9999-12-31,1,199
589,Najmeh Abtin,F,1983,160.0,57.0,4,2022-06-11 00:00:00,9999-12-31,1,200
590,Mohamed Abu Abdullah,M,1981,173.0,74.0,5,2022-06-11 00:00:00,9999-12-31,1,201
591,Abdul Wahab Abu Al-Hail Labid,M,1977,180.0,79.0,1,2022-06-11 00:00:00,9999-12-31,1,202
593,Methkal Marouf Abu Drais,M,1984,168.0,67.0,1,2022-06-11 00:00:00,9999-12-31,1,203
596,Maher Abu Rmilah,M,1984,172.0,72.0,4,2022-06-11 00:00:00,9999-12-31,1,204
598,Omar Abu-Fares,M,1984,178.0,69.0,1,2022-06-11 00:00:00,9999-12-31,1,205
598,Omar Abu-Fares,M,1985,178.0,69.0,1,2022-06-11 00:00:00,9999-12-31,1,206
600,Nagmeldin Ali Abubakr,M,1986,172.0,63.0,1,2022-06-11 00:00:00,9999-12-31,1,207
601,Sanna Abubkheet,F,1985,157.0,52.0,2,2022-06-11 00:00:00,9999-12-31,1,208
602,Abudoureheman,M,1978,182.0,75.0,2,2022-06-11 00:00:00,9999-12-31,1,209
604,"Folashade ""Shade"" Abugan",F,1991,150.0,64.0,5,2022-06-11 00:00:00,9999-12-31,1,210
607,Hamza Abughalia,M,1981,,85.0,4,2022-06-11 00:00:00,9999-12-31,1,211
609,Fartun Abukar Omar,F,1986,170.0,58.0,4,2022-06-11 00:00:00,9999-12-31,1,212
612,Mohammad Abulibdeh,M,1984,183.0,68.0,2,2022-06-11 00:00:00,9999-12-31,1,213
616,Shigeru Aburaya,M,1977,163.0,51.0,2,2022-06-11 00:00:00,9999-12-31,1,214
617,Cristobal Alejandro Aburto Tinoco,M,1976,161.0,60.0,5,2022-06-11 00:00:00,9999-12-31,1,215
620,Kanat Kalizhanovich Abutalipov,M,1983,168.0,56.0,3,2022-06-11 00:00:00,9999-12-31,1,216
621,Anas Sameer N. H. Abuyousuf,M,1990,181.0,77.0,4,2022-06-11 00:00:00,9999-12-31,1,217
623,Irina Alekseyevna Abysova,F,1981,175.0,56.0,2,2022-06-11 00:00:00,9999-12-31,1,218
627,Andreea Roxana Acatrinei,F,1992,150.0,40.0,3,2022-06-11 00:00:00,9999-12-31,1,219
629,William Accambray,M,1988,194.0,104.0,2,2022-06-11 00:00:00,9999-12-31,1,220
634,Paul Accola,M,1968,176.0,82.0,1,2022-06-11 00:00:00,9999-12-31,1,221
637,Eusebio Acea Colarte,M,1969,190.0,95.0,4,2022-06-11 00:00:00,9999-12-31,1,222
638,Raidel Acea Morales,M,1991,,,4,2022-06-11 00:00:00,9999-12-31,1,223
651,Jos Eduardo Acevedo Herrera,M,1986,179.0,65.0,3,2022-06-11 00:00:00,9999-12-31,1,224
662,Loreto Achaerandio Snchez-Marn,F,1992,164.0,50.0,5,2022-06-11 00:00:00,9999-12-31,1,225
663,Sharath Kamal Achanta,M,1982,186.0,85.0,5,2022-06-11 00:00:00,9999-12-31,1,226
664,Kieron Robert Achara,M,1983,208.0,110.0,4,2022-06-11 00:00:00,9999-12-31,1,227
666,Aziz Acharki,M,1972,180.0,68.0,5,2022-06-11 00:00:00,9999-12-31,1,228
671,Ghassan Achi,M,1994,168.0,60.0,1,2022-06-11 00:00:00,9999-12-31,1,229
675,"Onochie Lawrence ""Larry"" Achike",M,1975,188.0,75.0,2,2022-06-11 00:00:00,9999-12-31,1,230
679,Ioan Valeriu Achiriloaie,M,1991,183.0,87.0,2,2022-06-11 00:00:00,9999-12-31,1,231
681,Janet Achola,F,1988,167.0,52.0,1,2022-06-11 00:00:00,9999-12-31,1,232
682,Julius Achon,M,1977,168.0,55.0,3,2022-06-11 00:00:00,9999-12-31,1,233
683,Natalie Chioma Achonwa,F,1993,190.0,86.0,5,2022-06-11 00:00:00,9999-12-31,1,234
