event_id;sport_type;sport_name;event_name
185;Group;Swimming;Swimming Men's 200 metres Freestyle
186;Group;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay
187;Individual;Canoeing;Canoeing Women's Kayak Fours, 500 metres
188;Group;Ice Hockey;Ice Hockey Women's Ice Hockey
189;Group;Sailing;Sailing Men's One Person Dinghy
190;Group;Curling;Curling Men's Curling
191;Individual;Judo;Judo Men's Half-Lightweight
192;Group;Swimming;Swimming Women's 200 metres Butterfly
193;Individual;Athletics;Athletics Men's 20 kilometres Walk
194;Individual;Athletics;Athletics Men's 50 kilometres Walk
195;Individual;Boxing;Boxing Women's Flyweight
196;Group;Curling;Curling Women's Curling
197;Individual;Athletics;Athletics Women's Shot Put
198;Group;Rowing;Rowing Men's Coxed Eights
199;Individual;Boxing;Boxing Men's Light-Heavyweight
200;Individual;Badminton;Badminton Mixed Doubles
201;Group;Swimming;Swimming Women's 200 metres Backstroke
202;Individual;Equestrianism;Equestrianism Mixed Three-Day Event, Individual
203;Individual;Equestrianism;Equestrianism Mixed Three-Day Event, Team
204;Group;Swimming;Swimming Women's 200 metres Individual Medley
205;Group;Swimming;Swimming Women's 400 metres Individual Medley
206;Individual;Freestyle Skiing;Freestyle Skiing Men's Slopestyle
207;Individual;Athletics;Athletics Women's 200 metres
208;Individual;Athletics;Athletics Women's 100 metres Hurdles
209;Individual;Canoeing;Canoeing Men's Canadian Doubles, Slalom
210;Group;Swimming;Swimming Women's 400 metres Freestyle
211;Group;Swimming;Swimming Women's 800 metres Freestyle
212;Group;Wrestling;Wrestling Men's Featherweight, Greco-Roman
213;Individual;Athletics;Athletics Women's Discus Throw
214;Group;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay
215;Individual;Freestyle Skiing;Freestyle Skiing Women's Halfpipe
216;Individual;Athletics;Athletics Women's Heptathlon
217;Group;Swimming;Swimming Men's 100 metres Breaststroke
218;Individual;Figure Skating;Figure Skating Mixed Ice Dancing
219;Individual;Figure Skating;Figure Skating Mixed Pairs
220;Group;Wrestling;Wrestling Men's Heavyweight, Freestyle
221;Group;Hockey;Hockey Women's Hockey
222;Group;Triathlon;Triathlon Men's Olympic Distance
223;Group;Sailing;Sailing Women's One Person Dinghy
224;Group;Cross Country Skiing;Cross Country Skiing Women's 30 kilometres
225;Group;Cross Country Skiing;Cross Country Skiing Women's 15 km Skiathlon
226;Individual;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres
227;Individual;Canoeing;Canoeing Men's Canadian Doubles, 500 metres
228;Individual;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres
229;Individual;Boxing;Boxing Men's Featherweight
230;Individual;Diving;Diving Men's Synchronized Platform
231;Group;Snowboarding;Snowboarding Men's Halfpipe
232;Group;Rowing;Rowing Men's Coxless Pairs
233;Individual;Equestrianism;Equestrianism Mixed Jumping, Individual
234;Individual;Equestrianism;Equestrianism Mixed Jumping, Team
235;Group;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres
236;Individual;Athletics;Athletics Women's 3,000 metres Steeplechase
237;Group;Ski Jumping;Ski Jumping Men's Normal Hill, Individual
238;Group;Ski Jumping;Ski Jumping Men's Large Hill, Individual
239;Group;Ski Jumping;Ski Jumping Men's Large Hill, Team
240;Group;Shooting;Shooting Women's Trap
241;Individual;Diving;Diving Men's Springboard
242;Individual;Badminton;Badminton Men's Doubles
243;Group;Sailing;Sailing Men's Windsurfer
244;Group;Rowing;Rowing Men's Single Sculls
245;Individual;Athletics;Athletics Women's 20 kilometres Walk
246;Individual;Canoeing;Canoeing Men's Kayak Singles, Slalom
247;Group;Sailing;Sailing Mixed One Person Dinghy
248;Group;Sailing;Sailing Men's One Person Heavyweight Dinghy
249;Individual;Freestyle Skiing;Freestyle Skiing Women's Aerials
250;Individual;Athletics;Athletics Men's 800 metres
251;Individual;Cycling;Cycling Men's Team Pursuit, 4,000 metres
252;Individual;Cycling;Cycling Men's Madison
253;Group;Swimming;Swimming Women's 100 metres Backstroke
254;Group;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres
255;Group;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres
256;Individual;Cycling;Cycling Men's Individual Time Trial
257;Group;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle
258;Individual;Biathlon;Biathlon Women's 15 kilometres
259;Individual;Biathlon;Biathlon Women's 4 x 7.5 kilometres Relay
260;Individual;Biathlon;Biathlon Women's 7.5 kilometres Sprint
261;Individual;Biathlon;Biathlon Women's 10 kilometres Pursuit
262;Individual;Biathlon;Biathlon Women's 12.5 kilometres Mass Start
263;Individual;Biathlon;Biathlon Women's 4 x 6 kilometres Relay
264;Group;Weightlifting;Weightlifting Men's Middle-Heavyweight
265;Group;Weightlifting;Weightlifting Men's Heavyweight
266;Group;Swimming;Swimming Women's 100 metres Breaststroke
267;Individual;Gymnastics;Gymnastics Women's Horse Vault
268;Group;Table Tennis;Table Tennis Men's Doubles
269;Group;Taekwondo;Taekwondo Women's Flyweight
270;Group;Swimming;Swimming Women's 100 metres Freestyle
271;Group;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay
272;Group;Swimming;Swimming Women's 4 x 100 metres Medley Relay
273;Group;Wrestling;Wrestling Women's Heavyweight, Freestyle
274;Group;Shooting;Shooting Men's Trap
275;Group;Shooting;Shooting Men's Double Trap
276;Individual;Athletics;Athletics Men's Discus Throw
277;Group;Taekwondo;Taekwondo Men's Heavyweight
278;Individual;Judo;Judo Men's Half-Heavyweight
279;Group;Taekwondo;Taekwondo Women's Welterweight
280;Individual;Athletics;Athletics Men's Long Jump
281;Group;Skeleton;Skeleton Men's Skeleton
282;Group;Tennis;Tennis Men's Singles
283;Individual;Judo;Judo Men's Middleweight
284;Group;Weightlifting;Weightlifting Men's Super-Heavyweight
285;Individual;Luge;Luge Men's Singles
286;Individual;Luge;Luge Mixed (Men)'s Doubles
287;Group;Sailing;Sailing Men's Two Person Dinghy
